long,lat,alt,model,reg_city,reg_state,mph,Label
-118.008,34.6273,28500,CL-600-2C10,ST GEORGE,UTAH,523,risk
-118.089,34.643,32575,CL-600-2B19,ST. GEORGE,UTAH,460,risk
-117.735,34.6674,35700,ERJ 170-200 LR,FORT WORTH,TEXAS,506,risk
-117.609,34.7365,32250,CL-600-2B19,ST GEORGE,UTAH,502,risk
-118.65,34.5227,21950,737-7H4,DALLAS,TEXAS,460,moderate
-118.506,34.301,40275,737-7H4,DALLAS,TEXAS,460,highest risk
-117.874,34.6524,14050,FALCON 2000EX,HOUSTON,TEXAS,460,moderate
-118.071,34.6298,11575,EMB-550,LOS ANGELES,CALIFORNIA,384,safe
-117.917,34.6002,34575,737-824,CHICAGO,ILLINOIS,529,risk
-117.743,34.3785,38725,737-7CT,DALLAS,TEXAS,523,risk
-118.088,34.5609,7250,B300,EL SEGUNDO,CALIFORNIA,256,safe
-117.886,34.6509,13750,400A,CLEVELAND,OHIO,380,safe
-118.689,34.5401,36525,737-890,WILMINGTON,DELAWARE,520,risk
-118.737,34.655,40450,BD-100-1A10,SEATTLE,WASHINGTON,520,highest risk
-118.306,34.5774,8500,680A,COLUMBUS,OHIO,460,moderate
-118.261,34.7681,16125,SF50,NORTH SALT LAKE,UTAH,336,safe
-117.77,34.4971,16025,ERJ 170-200 LL,ST GEORGE,UTAH,417,moderate
-118.233,34.5638,16075,CL-600-2C10,SALT LAKE CITY,UTAH,428,moderate
-118.26,34.5879,9150,A300 F4-605R,MEMPHIS,TENNESSEE,341,safe
-118.585,34.5662,31475,737-9,SALT LAKE CITY,UTAH,541,risk
-117.164,34.6641,28975,A320-232,SALT LAKE CITY,UTAH,527,risk
-118.168,34.5345,29775,737-7BD,DALLAS,TEXAS,509,risk
-117.748,34.487,15875,737-7H4,DALLAS,TEXAS,419,moderate
-117.791,34.525,37600,CL-600-2C10,ST GEORGE,UTAH,511,risk
-117.917,34.5644,18175,737-800,DALLAS,TEXAS,414,moderate
-118.15,34.47,11000,B300,EL SEGUNDO,CALIFORNIA,320,safe
-117.542,34.61,31550,737-800,DALLAS,TEXAS,518,risk
-117.819,34.6442,37600,737-8,DALLAS,TEXAS,525,risk
-117.264,34.3906,37775,CL-600-2D24,PHOENIX,ARIZONA,509,risk
-118.105,34.6085,4200,B300,EL SEGUNDO,CALIFORNIA,460,moderate
-118.151,34.6418,23275,737-7BD,DALLAS,TEXAS,435,moderate
-117.724,34.5896,24400,525,SANTA MARIA,CALIFORNIA,460,moderate
-118.014,34.6447,22200,EA500,WESTLAKE VILLAGE,CALIFORNIA,410,moderate
-118.244,34.5511,15650,ERJ 170-200 LR,ST GEORGE,UTAH,407,moderate
-118.549,34.9653,24500,757-236,MEMPHIS,TENNESSEE,516,risk
-118.248,34.5835,9875,737-7H4,DALLAS,TEXAS,357,safe
